	variable	d	CuedHalf	Alignment	Congruency	participant
112	Incongruent_Misligned_Top	2.0728667789875797	Top	MisAligned	Incongruent	17
113	Incongruent_Misligned_Top	1.4393813596153926	Top	MisAligned	Incongruent	18
114	Incongruent_Misligned_Top	1.0542110045308886	Top	MisAligned	Incongruent	19
115	Incongruent_Misligned_Top	1.1988902629041225	Top	MisAligned	Incongruent	20
116	Incongruent_Misligned_Top	0.9612309541032155	Top	MisAligned	Incongruent	21
117	Incongruent_Misligned_Top	2.4843644972480945	Top	MisAligned	Incongruent	22
118	Incongruent_Misligned_Top	1.9057644067364772	Top	MisAligned	Incongruent	23
119	Incongruent_Misligned_Top	-1.582146849008259	Top	MisAligned	Incongruent	24
120	Incongruent_Misligned_Top	-1.3660217462809552	Top	MisAligned	Incongruent	25
121	Incongruent_Misligned_Top	1.7705149738065464	Top	MisAligned	Incongruent	26
122	Incongruent_Misligned_Top	1.6090790412695617	Top	MisAligned	Incongruent	27
123	Incongruent_Misligned_Top	1.1988902629041225	Top	MisAligned	Incongruent	28
124	Incongruent_Misligned_Top	0.9278368533318815	Top	MisAligned	Incongruent	29
125	Incongruent_Misligned_Top	1.6090790412695617	Top	MisAligned	Incongruent	30
126	Incongruent_Misligned_Top	2.4002686533119415	Top	MisAligned	Incongruent	31
127	Incongruent_Misligned_Top	0.7777476158438403	Top	MisAligned	Incongruent	32
128	Congruent_Aligned_Bottom	1.5323494171159584	Bottom	Aligned	Congruent	1
129	Congruent_Aligned_Bottom	0.6744897501960817	Bottom	Aligned	Congruent	2
130	Congruent_Aligned_Bottom	3.3917521079809547	Bottom	Aligned	Congruent	3
131	Congruent_Aligned_Bottom	1.2722498762385601	Bottom	Aligned	Congruent	4
132	Congruent_Aligned_Bottom	1.9634929909158474	Bottom	Aligned	Congruent	5
133	Congruent_Aligned_Bottom	0.7650289139684401	Bottom	Aligned	Congruent	6
134	Congruent_Aligned_Bottom	1.0470935009089937	Bottom	Aligned	Congruent	7
135	Congruent_Aligned_Bottom	0.6386675695433675	Bottom	Aligned	Congruent	8
136	Congruent_Aligned_Bottom	0.6159499271091049	Bottom	Aligned	Congruent	9
137	Congruent_Aligned_Bottom	2.114021221134538	Bottom	Aligned	Congruent	10
138	Congruent_Aligned_Bottom	0.8390826565774473	Bottom	Aligned	Congruent	11
139	Congruent_Aligned_Bottom	2.319343377147554	Bottom	Aligned	Congruent	12
140	Congruent_Aligned_Bottom	3.2778361170987367	Bottom	Aligned	Congruent	13
141	Congruent_Aligned_Bottom	1.2897804926295895	Bottom	Aligned	Congruent	14
142	Congruent_Aligned_Bottom	1.8339720532242645	Bottom	Aligned	Congruent	15
143	Congruent_Aligned_Bottom	1.9057644067364772	Bottom	Aligned	Congruent	16
144	Congruent_Aligned_Bottom	2.79520300732748	Bottom	Aligned	Congruent	17
145	Congruent_Aligned_Bottom	0.6428806164426719	Bottom	Aligned	Congruent	18
146	Congruent_Aligned_Bottom	1.2897804926295895	Bottom	Aligned	Congruent	19
147	Congruent_Aligned_Bottom	1.162094736348864	Bottom	Aligned	Congruent	20
148	Congruent_Aligned_Bottom	0.1906403251925859	Bottom	Aligned	Congruent	21
149	Congruent_Aligned_Bottom	2.6812870164452622	Bottom	Aligned	Congruent	22
150	Congruent_Aligned_Bottom	0.5350533480992645	Bottom	Aligned	Congruent	23
151	Congruent_Aligned_Bottom	2.996397374033844	Bottom	Aligned	Congruent	24
152	Congruent_Aligned_Bottom	1.7918484158542591	Bottom	Aligned	Congruent	25
153	Congruent_Aligned_Bottom	1.6041115705458875	Bottom	Aligned	Congruent	26
154	Congruent_Aligned_Bottom	2.114021221134538	Bottom	Aligned	Congruent	27
155	Congruent_Aligned_Bottom	2.996397374033844	Bottom	Aligned	Congruent	28
156	Congruent_Aligned_Bottom	2.7210830364830567	Bottom	Aligned	Congruent	29
157	Congruent_Aligned_Bottom	2.1490824108128463	Bottom	Aligned	Congruent	30
158	Congruent_Aligned_Bottom	1.707560404894686	Bottom	Aligned	Congruent	31
159	Congruent_Aligned_Bottom	1.4299047765565511	Bottom	Aligned	Congruent	32
160	Congruent_Misligned_Bottom	1.0364333894937898	Bottom	MisAligned	Congruent	1
161	Congruent_Misligned_Bottom	0.131973363271768	Bottom	MisAligned	Congruent	2
162	Congruent_Misligned_Bottom	1.8793116915870787	Bottom	MisAligned	Congruent	3
163	Congruent_Misligned_Bottom	1.1602605975372895	Bottom	MisAligned	Congruent	4
164	Congruent_Misligned_Bottom	1.3768246929952426	Bottom	MisAligned	Congruent	5
165	Congruent_Misligned_Bottom	0.8962310991370326	Bottom	MisAligned	Congruent	6
166	Congruent_Misligned_Bottom	1.250413044665664	Bottom	MisAligned	Congruent	7
167	Congruent_Misligned_Bottom	0.5719864671001749	Bottom	MisAligned	Congruent	8
168	Congruent_Misligned_Bottom	0.46169373476482684	Bottom	MisAligned	Congruent	9
169	Congruent_Misligned_Bottom	1.3883514812433595	Bottom	MisAligned	Congruent	10
170	Congruent_Misligned_Bottom	0.4720987791874044	Bottom	MisAligned	Congruent	11
171	Congruent_Misligned_Bottom	1.956041315740682	Bottom	MisAligned	Congruent	12
172	Congruent_Misligned_Bottom	1.8793116915870787	Bottom	MisAligned	Congruent	13
173	Congruent_Misligned_Bottom	1.4395314709384563	Bottom	MisAligned	Congruent	14
174	Congruent_Misligned_Bottom	1.1558902186895261	Bottom	MisAligned	Congruent	15
175	Congruent_Misligned_Bottom	2.0369665919050695	Bottom	MisAligned	Congruent	16
176	Congruent_Misligned_Bottom	2.2161408566180802	Bottom	MisAligned	Congruent	17
177	Congruent_Misligned_Bottom	0.6372787279287503	Bottom	MisAligned	Congruent	18
178	Congruent_Misligned_Bottom	1.0991401674370036	Bottom	MisAligned	Congruent	19
179	Congruent_Misligned_Bottom	1.0991401674370036	Bottom	MisAligned	Congruent	20
180	Congruent_Misligned_Bottom	0.2646437638970872	Bottom	MisAligned	Congruent	21
181	Congruent_Misligned_Bottom	2.1949464972989254	Bottom	MisAligned	Congruent	22
182	Congruent_Misligned_Bottom	0.6604669039856923	Bottom	MisAligned	Congruent	23
183	Congruent_Misligned_Bottom	2.5577241105825324	Bottom	MisAligned	Congruent	24
184	Congruent_Misligned_Bottom	2.0849386714494877	Bottom	MisAligned	Congruent	25
185	Congruent_Misligned_Bottom	1.295383423742794	Bottom	MisAligned	Congruent	26
186	Congruent_Misligned_Bottom	2.4002686533119415	Bottom	MisAligned	Congruent	27
187	Congruent_Misligned_Bottom	1.4589898037815208	Bottom	MisAligned	Congruent	28
188	Congruent_Misligned_Bottom	1.893293661108336	Bottom	MisAligned	Congruent	29
189	Congruent_Misligned_Bottom	1.2255518157665821	Bottom	MisAligned	Congruent	30
190	Congruent_Misligned_Bottom	1.0364333894937898	Bottom	MisAligned	Congruent	31
191	Congruent_Misligned_Bottom	1.9710226805672697	Bottom	MisAligned	Congruent	32
192	Incongruent_Aligned_Bottom	0.7454708648006875	Bottom	Aligned	Incongruent	1
193	Incongruent_Aligned_Bottom	0.31863936396437514	Bottom	Aligned	Incongruent	2
194	Incongruent_Aligned_Bottom	0.8636081764688741	Bottom	Aligned	Incongruent	3
195	Incongruent_Aligned_Bottom	0.18911842627279238	Bottom	Aligned	Incongruent	4
196	Incongruent_Aligned_Bottom	-0.31722072086487363	Bottom	Aligned	Incongruent	5
197	Incongruent_Aligned_Bottom	1.4036964835118075	Bottom	Aligned	Incongruent	6
198	Incongruent_Aligned_Bottom	0.597910237365542	Bottom	Aligned	Incongruent	7
199	Incongruent_Aligned_Bottom	0.8511072291782782	Bottom	Aligned	Incongruent	8
200	Incongruent_Aligned_Bottom	-0.289169283788514	Bottom	Aligned	Incongruent	9
201	Incongruent_Aligned_Bottom	1.8248519373460241	Bottom	Aligned	Incongruent	10
202	Incongruent_Aligned_Bottom	0.06345707941771836	Bottom	Aligned	Incongruent	11
203	Incongruent_Aligned_Bottom	1.226941699980482	Bottom	Aligned	Incongruent	12
204	Incongruent_Aligned_Bottom	0.19297801710930113	Bottom	Aligned	Incongruent	13
205	Incongruent_Aligned_Bottom	-0.5719864671001749	Bottom	Aligned	Incongruent	14
206	Incongruent_Aligned_Bottom	0.3226136884643539	Bottom	Aligned	Incongruent	15
207	Incongruent_Aligned_Bottom	1.366021746280955	Bottom	Aligned	Incongruent	16
208	Incongruent_Aligned_Bottom	-1.3883514812433597	Bottom	Aligned	Incongruent	17
209	Incongruent_Aligned_Bottom	0.6386675695433675	Bottom	Aligned	Incongruent	18
210	Incongruent_Aligned_Bottom	-0.5794235370249536	Bottom	Aligned	Incongruent	19
211	Incongruent_Aligned_Bottom	1.087642602432794	Bottom	Aligned	Incongruent	20
212	Incongruent_Aligned_Bottom	0.2513226937101483	Bottom	Aligned	Incongruent	21
213	Incongruent_Aligned_Bottom	0.808927944218406	Bottom	Aligned	Incongruent	22
214	Incongruent_Aligned_Bottom	0.39105541222666573	Bottom	Aligned	Incongruent	23
215	Incongruent_Aligned_Bottom	2.319343377147554	Bottom	Aligned	Incongruent	24
216	Incongruent_Aligned_Bottom	1.0488010254160813	Bottom	Aligned	Incongruent	25
217	Incongruent_Aligned_Bottom	-0.12566134685507416	Bottom	Aligned	Incongruent	26
218	Incongruent_Aligned_Bottom	0.6117829722528678	Bottom	Aligned	Incongruent	27
219	Incongruent_Aligned_Bottom	0.93458929107348	Bottom	Aligned	Incongruent	28
220	Incongruent_Aligned_Bottom	-0.24386110753043577	Bottom	Aligned	Incongruent	29
221	Incongruent_Aligned_Bottom	0.7234214728975525	Bottom	Aligned	Incongruent	30
222	Incongruent_Aligned_Bottom	0.44430071081944933	Bottom	Aligned	Incongruent	31
223	Incongruent_Aligned_Bottom	1.2897804926295895	Bottom	Aligned	Incongruent	32
224	Incongruent_Misligned_Bottom	1.1208921069740811	Bottom	MisAligned	Incongruent	1
225	Incongruent_Misligned_Bottom	0.33528208643524826	Bottom	MisAligned	Incongruent	2
226	Incongruent_Misligned_Bottom	1.468988744340383	Bottom	MisAligned	Incongruent	3
227	Incongruent_Misligned_Bottom	0.6386675695433675	Bottom	MisAligned	Incongruent	4
228	Incongruent_Misligned_Bottom	0.1576549003179909	Bottom	MisAligned	Incongruent	5
229	Incongruent_Misligned_Bottom	0.43677566239609417	Bottom	MisAligned	Incongruent	6
