	variable	d	CuedHalf	Alignment	Congruency	participant	ProbabilityCue
211	Incongruent_Aligned_Bottom	-2.0301740933590406	Bottom	Aligned	Incongruent	20	25cueTarget
212	Incongruent_Aligned_Bottom	-1.2897804926295895	Bottom	Aligned	Incongruent	21	25cueTarget
213	Incongruent_Aligned_Bottom	0.24511817605081054	Bottom	Aligned	Incongruent	22	25cueTarget
214	Incongruent_Aligned_Bottom	0.5066942062715994	Bottom	Aligned	Incongruent	23	25cueTarget
215	Incongruent_Aligned_Bottom	-0.5066942062715994	Bottom	Aligned	Incongruent	24	25cueTarget
216	Incongruent_Aligned_Bottom	0.3619436392977081	Bottom	Aligned	Incongruent	25	25cueTarget
217	Incongruent_Aligned_Bottom	0.421142647060282	Bottom	Aligned	Incongruent	26	25cueTarget
218	Incongruent_Aligned_Bottom	1.1988902629041225	Bottom	Aligned	Incongruent	27	25cueTarget
219	Incongruent_Aligned_Bottom	0.9672825804279884	Bottom	Aligned	Incongruent	28	25cueTarget
220	Incongruent_Aligned_Bottom	-1.0598102166036494	Bottom	Aligned	Incongruent	29	25cueTarget
221	Incongruent_Aligned_Bottom	0.9672825804279884	Bottom	Aligned	Incongruent	30	25cueTarget
222	Incongruent_Aligned_Bottom	-0.15008923748804104	Bottom	Aligned	Incongruent	31	25cueTarget
223	Incongruent_Aligned_Bottom	1.226941699980482	Bottom	Aligned	Incongruent	32	25cueTarget
224	Incongruent_Misligned_Bottom	-0.5120328767857492	Bottom	MisAligned	Incongruent	1	25cueTarget
225	Incongruent_Misligned_Bottom	-1.4217538559013576	Bottom	MisAligned	Incongruent	2	25cueTarget
226	Incongruent_Misligned_Bottom	1.3489795003921634	Bottom	MisAligned	Incongruent	3	25cueTarget
227	Incongruent_Misligned_Bottom	0.1671314833768326	Bottom	MisAligned	Incongruent	4	25cueTarget
228	Incongruent_Misligned_Bottom	0.5244005127080407	Bottom	MisAligned	Incongruent	5	25cueTarget
229	Incongruent_Misligned_Bottom	-0.12566134685507416	Bottom	MisAligned	Incongruent	6	25cueTarget
230	Incongruent_Misligned_Bottom	1.516110983768996	Bottom	MisAligned	Incongruent	7	25cueTarget
231	Incongruent_Misligned_Bottom	-2.1231727991175147	Bottom	MisAligned	Incongruent	8	25cueTarget
232	Incongruent_Misligned_Bottom	-0.45630076716534645	Bottom	MisAligned	Incongruent	9	25cueTarget
233	Incongruent_Misligned_Bottom	0.12566134685507416	Bottom	MisAligned	Incongruent	10	25cueTarget
234	Incongruent_Misligned_Bottom	0.7830862863579902	Bottom	MisAligned	Incongruent	11	25cueTarget
235	Incongruent_Misligned_Bottom	-1.3660217462809552	Bottom	MisAligned	Incongruent	12	25cueTarget
236	Incongruent_Misligned_Bottom	-0.5109818132626419	Bottom	MisAligned	Incongruent	13	25cueTarget
237	Incongruent_Misligned_Bottom	1.2897804926295895	Bottom	MisAligned	Incongruent	14	25cueTarget
238	Incongruent_Misligned_Bottom	2.31798495503839	Bottom	MisAligned	Incongruent	15	25cueTarget
239	Incongruent_Misligned_Bottom	1.2595331605439044	Bottom	MisAligned	Incongruent	16	25cueTarget
240	Incongruent_Misligned_Bottom	-0.6744897501960817	Bottom	MisAligned	Incongruent	17	25cueTarget
241	Incongruent_Misligned_Bottom	-0.7830862863579902	Bottom	MisAligned	Incongruent	18	25cueTarget
242	Incongruent_Misligned_Bottom	1.0598102166036494	Bottom	MisAligned	Incongruent	19	25cueTarget
243	Incongruent_Misligned_Bottom	-2.6812870164452627	Bottom	MisAligned	Incongruent	20	25cueTarget
