	Response Time (ms)	Cue Prob	Alignment	Congruency	CuedHalf	Participant
310	516.0088779374345	75 cue	Aligned	Congruent	Bottom	1
311	694.0028561115595	75 cue	Aligned	Congruent	Bottom	2
312	757.6949626217407	75 cue	Aligned	Congruent	Bottom	3
313	386.27583429417	75 cue	Aligned	Congruent	Bottom	4
314	409.5587533696204	75 cue	Aligned	Congruent	Bottom	5
315	435.66018736080593	75 cue	Aligned	Congruent	Bottom	6
316	1005.844415593961	75 cue	Aligned	Congruent	Bottom	7
317	334.6953656789924	75 cue	Aligned	Congruent	Bottom	8
318	695.301979218093	75 cue	Aligned	Congruent	Bottom	9
319	477.7269006914529	75 cue	Aligned	Congruent	Bottom	10
320	847.5728840081655	75 cue	Aligned	Congruent	Bottom	11
321	587.9767634764636	75 cue	Aligned	Congruent	Bottom	12
322	401.6695311758539	75 cue	Aligned	Congruent	Bottom	13
323	565.3585801428396	75 cue	Aligned	Congruent	Bottom	14
324	882.4257754409483	75 cue	Aligned	Congruent	Bottom	15
325	483.7979280695062	75 cue	Aligned	Congruent	Bottom	16
326	882.9527538508516	75 cue	Aligned	Congruent	Bottom	17
327	579.8080287202574	75 cue	Aligned	Congruent	Bottom	18
328	459.790335302132	75 cue	Aligned	Congruent	Bottom	19
329	269.1706906438672	75 cue	Aligned	Congruent	Bottom	20
330	584.4189279025546	75 cue	Aligned	Congruent	Bottom	21
331	813.1637962502057	75 cue	Aligned	Congruent	Bottom	22
332	757.6143205352128	75 cue	Aligned	Congruent	Bottom	23
333	663.2080583134666	75 cue	Aligned	Congruent	Bottom	24
334	658.3237696856683	75 cue	Aligned	Congruent	Bottom	25
335	607.4053384945728	75 cue	Aligned	Congruent	Bottom	26
336	614.0749704356145	75 cue	Aligned	Congruent	Bottom	27
337	449.3661490629338	75 cue	Aligned	Congruent	Bottom	28
338	641.7020787598519	75 cue	Aligned	Congruent	Bottom	29
339	667.0022626754409	75 cue	Aligned	Congruent	Bottom	30
340	681.2849900007926	75 cue	Aligned	Congruent	Bottom	31
341	582.2850173606317	75 cue	MisAligned	Congruent	Bottom	1
342	816.3021924557532	75 cue	MisAligned	Congruent	Bottom	2
343	782.935112760282	75 cue	MisAligned	Congruent	Bottom	3
344	398.95174277706315	75 cue	MisAligned	Congruent	Bottom	4
345	366.6232462487587	75 cue	MisAligned	Congruent	Bottom	5
346	550.3045382983731	75 cue	MisAligned	Congruent	Bottom	6
347	961.9051501402423	75 cue	MisAligned	Congruent	Bottom	7
348	347.1051932570117	75 cue	MisAligned	Congruent	Bottom	8
349	691.2720062812749	75 cue	MisAligned	Congruent	Bottom	9
350	498.0880134910067	75 cue	MisAligned	Congruent	Bottom	10
351	897.6663588485237	75 cue	MisAligned	Congruent	Bottom	11
352	592.0589421892095	75 cue	MisAligned	Congruent	Bottom	12
353	398.5276211150659	75 cue	MisAligned	Congruent	Bottom	13
354	609.9800058069117	75 cue	MisAligned	Congruent	Bottom	14
355	795.8654634091678	75 cue	MisAligned	Congruent	Bottom	15
356	515.6378899191623	75 cue	MisAligned	Congruent	Bottom	16
357	994.1333609537292	75 cue	MisAligned	Congruent	Bottom	17
358	584.7897913242435	75 cue	MisAligned	Congruent	Bottom	18
359	552.5162812906123	75 cue	MisAligned	Congruent	Bottom	19
360	297.84754806628024	75 cue	MisAligned	Congruent	Bottom	20
361	625.9437754195893	75 cue	MisAligned	Congruent	Bottom	21
362	890.9737127833068	75 cue	MisAligned	Congruent	Bottom	22
363	686.1593956754615	75 cue	MisAligned	Congruent	Bottom	23
364	646.5924911392743	75 cue	MisAligned	Congruent	Bottom	24
365	1034.4473177261248	75 cue	MisAligned	Congruent	Bottom	25
366	609.183538594696	75 cue	MisAligned	Congruent	Bottom	26
367	541.7653655582615	75 cue	MisAligned	Congruent	Bottom	27
368	454.41899087492624	75 cue	MisAligned	Congruent	Bottom	28
369	576.482248090377	75 cue	MisAligned	Congruent	Bottom	29
370	687.5794160179794	75 cue	MisAligned	Congruent	Bottom	30
371	683.9689493997756	75 cue	MisAligned	Congruent	Bottom	31
372	644.671071226322	75 cue	Aligned	Incongruent	Top	1
373	940.3272572216457	75 cue	Aligned	Incongruent	Top	2
374	650.3700520453484	75 cue	Aligned	Incongruent	Top	3
375	541.8170382136097	75 cue	Aligned	Incongruent	Top	4
376	402.2139632056103	75 cue	Aligned	Incongruent	Top	5
377	496.10326034984183	75 cue	Aligned	Incongruent	Top	6
378	919.9197562707392	75 cue	Aligned	Incongruent	Top	7
379	472.24178775694463	75 cue	Aligned	Incongruent	Top	8
380	1013.5623157242435	75 cue	Aligned	Incongruent	Top	9
381	496.5918170163581	75 cue	Aligned	Incongruent	Top	10
382	593.2577093733518	75 cue	Aligned	Incongruent	Top	11
383	957.9669609953846	75 cue	Aligned	Incongruent	Top	12
384	574.044143366571	75 cue	Aligned	Incongruent	Top	13
385	504.44938658444136	75 cue	Aligned	Incongruent	Top	14
386	554.4832810854496	75 cue	Aligned	Incongruent	Top	15
387	611.0080445426073	75 cue	Aligned	Incongruent	Top	16
388	995.5457279353166	75 cue	Aligned	Incongruent	Top	17
389	495.38134659815114	75 cue	Aligned	Incongruent	Top	18
390	498.1256828305601	75 cue	Aligned	Incongruent	Top	19
391	418.1953915114324	75 cue	Aligned	Incongruent	Top	20
392	914.4020627962078	75 cue	Aligned	Incongruent	Top	21
393	681.6909994360886	75 cue	Aligned	Incongruent	Top	22
394	569.7059826605255	75 cue	Aligned	Incongruent	Top	23
395	1236.5767120653272	75 cue	Aligned	Incongruent	Top	24
396	796.665255075846	75 cue	Aligned	Incongruent	Top	25
397	471.39956183250877	75 cue	Aligned	Incongruent	Top	26
398	463.65204765700184	75 cue	Aligned	Incongruent	Top	27
399	520.1697516767308	75 cue	Aligned	Incongruent	Top	28
400	804.4326460208702	75 cue	Aligned	Incongruent	Top	29
401	493.4769246623748	75 cue	Aligned	Incongruent	Top	30
402	766.9948650324451	75 cue	Aligned	Incongruent	Top	31
403	575.0602462642557	75 cue	MisAligned	Incongruent	Top	1
404	1338.2154718186625	75 cue	MisAligned	Incongruent	Top	2
405	578.3837656882965	75 cue	MisAligned	Incongruent	Top	3
406	527.4719539594658	75 cue	MisAligned	Incongruent	Top	4
407	410.89295070382235	75 cue	MisAligned	Incongruent	Top	5
408	487.910547573487	75 cue	MisAligned	Incongruent	Top	6
409	816.7693718322631	75 cue	MisAligned	Incongruent	Top	7
410	467.50109110815265	75 cue	MisAligned	Incongruent	Top	8
411	1038.9998388945542	75 cue	MisAligned	Incongruent	Top	9
412	464.63176757468574	75 cue	MisAligned	Incongruent	Top	10
413	700.992738558125	75 cue	MisAligned	Incongruent	Top	11
414	876.0632843392985	75 cue	MisAligned	Incongruent	Top	12
415	580.8269254140565	75 cue	MisAligned	Incongruent	Top	13
416	460.183478135276	75 cue	MisAligned	Incongruent	Top	14
417	489.32838203238657	75 cue	MisAligned	Incongruent	Top	15
418	917.5362867543548	75 cue	MisAligned	Incongruent	Top	16
419	1258.1089505543744	75 cue	MisAligned	Incongruent	Top	17
420	459.56195591570577	75 cue	MisAligned	Incongruent	Top	18
421	501.53860943047965	75 cue	MisAligned	Incongruent	Top	19
422	382.1753744374622	75 cue	MisAligned	Incongruent	Top	20
423	894.1938803887907	75 cue	MisAligned	Incongruent	Top	21
424	732.7178870574297	75 cue	MisAligned	Incongruent	Top	22
425	588.587827946025	75 cue	MisAligned	Incongruent	Top	23
426	1350.7250129369759	75 cue	MisAligned	Incongruent	Top	24
427	757.0569347261207	75 cue	MisAligned	Incongruent	Top	25
428	537.3399042679617	75 cue	MisAligned	Incongruent	Top	26
429	442.03507931619555	75 cue	MisAligned	Incongruent	Top	27
430	506.74688043473395	75 cue	MisAligned	Incongruent	Top	28
431	787.9582878961725	75 cue	MisAligned	Incongruent	Top	29
432	564.8802146315575	75 cue	MisAligned	Incongruent	Top	30
433	755.9190325406488	75 cue	MisAligned	Incongruent	Top	31
